

[0, 1, 2, 3, 4, 5, 6, 7, 8]
[0, 18, 18, 198, 324, 702, 954, 1332, 1584, 1962]
6.0
1962 x 1962 matrix
         66839812 function calls (66835249 primitive calls) in 97.993 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      532    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
       48    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.001    0.001 _methods.py:5(<module>)
     1000    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
      346    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:707(find_spec)
        1    0.000    0.000    0.001    0.001 SpinHamiltonianSuperoperator.py:2(<module>)
  318/279    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
       30    0.000    0.000    0.001    0.000 getlimits.py:43(<lambda>)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
        1    0.000    0.000    0.001    0.001 random.py:38(<module>)
        1    0.000    0.000    0.001    0.001 _ccallback.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        1    0.000    0.000    0.001    0.001 _numpy_compat.py:3(<module>)
     1009    0.001    0.000    0.001    0.000 {built-in method builtins.min}
       80    0.000    0.000    0.001    0.000 typing.py:342(_type_vars)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
    29/15    0.000    0.000    0.001    0.000 abc.py:196(__subclasscheck__)
      616    0.000    0.000    0.001    0.000 _inspect.py:15(ismethod)
       40    0.000    0.000    0.001    0.000 sre_parse.py:828(fix_flags)
        5    0.000    0.000    0.001    0.000 textwrap.py:414(dedent)
        8    0.000    0.000    0.001    0.000 enum.py:160(<setcomp>)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
      827    0.001    0.000    0.001    0.000 functools.py:74(wraps)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
       84    0.000    0.000    0.001    0.000 typing.py:852(_next_in_mro)
      137    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.001    0.001 mio4.py:2(<module>)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
     1229    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       52    0.000    0.000    0.001    0.000 core.py:900(__init__)
        4    0.000    0.000    0.001    0.000 core.py:122(doc_note)
      994    0.000    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 hb.py:11(<module>)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:51(<module>)
       17    0.000    0.000    0.001    0.000 doccer.py:179(indentcount_lines)
       11    0.000    0.000    0.001    0.000 abc.py:151(register)
